date,open,high,low,close,volume
06-03-2024,1.21,1.26,1.19,1.26,190278
05-03-2024,1.3,1.305,1.19,1.22,211767
04-03-2024,1.35,1.38,1.29,1.33,196812
01-03-2024,1.36,1.41,1.33,1.37,135542
29-02-2024,1.37,1.41,1.32,1.38,216436
28-02-2024,1.25,1.39,1.25,1.37,124274
27-02-2024,1.36,1.42,1.27,1.29,212782
26-02-2024,1.27,1.38,1.25,1.35,139011
23-02-2024,1.2,1.32,1.2,1.28,205415
22-02-2024,1.24,1.24,1.17,1.22,186455
21-02-2024,1.22,1.26,1.188,1.21,99597
20-02-2024,1.25,1.25,1.19,1.23,104455
16-02-2024,1.29,1.29,1.22,1.24,158371
15-02-2024,1.26,1.4,1.25,1.29,171641
14-02-2024,1.26,1.29,1.21,1.26,110037
13-02-2024,1.21,1.28,1.21,1.21,242843
12-02-2024,1.33,1.34,1.25,1.3,356875
09-02-2024,1.33,1.4,1.2,1.34,344888
08-02-2024,1.07,1.36,1.07,1.34,1607160
07-02-2024,1.5,1.52,0.95,1.03,4382979
06-02-2024,1.69,1.75,1.62,1.7,278997
05-02-2024,1.76,1.76,1.58,1.62,275735
02-02-2024,1.61,1.79,1.55,1.7,678287
01-02-2024,1.64,1.64,1.53,1.58,289162
31-01-2024,1.6,1.69,1.6,1.63,103539
30-01-2024,1.59,1.7,1.58,1.64,455930
29-01-2024,1.67,1.67,1.52,1.62,175223
26-01-2024,1.57,1.68,1.57,1.64,153280
25-01-2024,1.55,1.59,1.55,1.59,98343
24-01-2024,1.55,1.58,1.51,1.53,184181
23-01-2024,1.61,1.6691,1.55,1.55,150266
22-01-2024,1.56,1.649,1.52,1.6,207534
19-01-2024,1.56,1.64,1.525,1.54,197426
18-01-2024,1.58,1.58,1.5,1.56,268727
17-01-2024,1.55,1.6,1.535,1.56,311770
16-01-2024,1.72,1.77,1.53,1.57,782185
12-01-2024,1.77,1.82,1.69,1.71,795266
11-01-2024,1.78,1.84,1.75,1.77,371443
10-01-2024,1.89,1.9288,1.785,1.82,420822
09-01-2024,2.17,2.25,1.89,1.9,1041464
08-01-2024,2.35,2.35,2.26,2.31,118768
05-01-2024,2.39,2.46,2.34,2.35,159887
04-01-2024,2.39,2.46,2.33,2.41,155145
03-01-2024,2.41,2.42,2.285,2.38,231688
02-01-2024,2.27,2.46,2.27,2.42,357069
